node1	label	node2
n1:audit-mls	n2:type	n3:Ontology
n1:audit-mls	n3:versionIRI	n1:audit-mls/1.0
n1:audit-mls	n3:imports	n4:
n1:audit-mls#belongsToDataset	n2:type	n3:ObjectProperty
n1:audit-mls#belongsToDataset	n3:inverseOf	n1:audit-mls#hasFeature
n1:audit-mls#belongsToDataset	n5:domain	n6:Feature
n1:audit-mls#belongsToDataset	n5:range	n6:Dataset
n1:audit-mls#hasFeature	n2:type	n3:ObjectProperty
n1:audit-mls#hasFeature	n5:domain	n6:Dataset
n1:audit-mls#hasFeature	n5:range	n6:Feature
n1:audit-mls#hasTargetFeature	n2:type	n3:ObjectProperty
n1:audit-mls#hasTargetFeature	n5:subPropertyOf	n1:audit-mls#hasFeature
n1:audit-mls#categoryName	n2:type	n3:DatatypeProperty
n1:audit-mls#categoryName	n5:domain	n1:audit-mls#Category
n1:audit-mls#categoryName	n5:range	xml-schema-type:string
n1:audit-mls#categoryNumberofInstances	n2:type	n3:DatatypeProperty
n1:audit-mls#categoryNumberofInstances	n5:domain	n1:audit-mls#Category
n1:audit-mls#categoryNumberofInstances	n5:range	xml-schema-type:int
n1:audit-mls#datasetName	n2:type	n3:DatatypeProperty
n1:audit-mls#datasetName	n5:domain	n6:Dataset
n1:audit-mls#datasetName	n5:range	xml-schema-type:string
n1:audit-mls#featureName	n2:type	n3:DatatypeProperty
n1:audit-mls#featureName	n5:domain	n6:Feature
n1:audit-mls#featureName	n5:range	xml-schema-type:string
n1:audit-mls#rangeMaxValue	n2:type	n3:DatatypeProperty
n1:audit-mls#rangeMaxValue	n5:domain	n1:audit-mls#NumericalRange
n1:audit-mls#rangeMinValue	n2:type	n3:DatatypeProperty
n1:audit-mls#rangeMinValue	n5:domain	n1:audit-mls#NumericalRange
n1:audit-mls#CategoricalFeature	n2:type	n3:Class
n1:audit-mls#CategoricalFeature	n3:equivalentClass	XmJQsdsWMJ8wsuwKpTY3WLG:g0
n1:audit-mls#CategoricalFeature	n5:subClassOf	n6:Feature
XmJQsdsWMJ8wsuwKpTY3WLG:g0	n3:intersectionOf	XmJQsdsWMJ8wsuwKpTY3WLG:g1
XmJQsdsWMJ8wsuwKpTY3WLG:g0	n2:type	n3:Class
XmJQsdsWMJ8wsuwKpTY3WLG:g1	n2:first	XmJQsdsWMJ8wsuwKpTY3WLG:g2
XmJQsdsWMJ8wsuwKpTY3WLG:g1	n2:rest	XmJQsdsWMJ8wsuwKpTY3WLG:g3
XmJQsdsWMJ8wsuwKpTY3WLG:g2	n2:type	n3:Restriction
XmJQsdsWMJ8wsuwKpTY3WLG:g2	n3:onProperty	n6:hasQuality
XmJQsdsWMJ8wsuwKpTY3WLG:g2	n3:someValuesFrom	n1:audit-mls#Category
XmJQsdsWMJ8wsuwKpTY3WLG:g3	n2:first	XmJQsdsWMJ8wsuwKpTY3WLG:g4
XmJQsdsWMJ8wsuwKpTY3WLG:g3	n2:rest	n2:nil
XmJQsdsWMJ8wsuwKpTY3WLG:g4	n2:type	n3:Restriction
XmJQsdsWMJ8wsuwKpTY3WLG:g4	n3:onProperty	n6:hasQuality
XmJQsdsWMJ8wsuwKpTY3WLG:g4	n3:someValuesFrom	n1:audit-mls#NumberOfCategories
n1:audit-mls#Category	n2:type	n3:Class
n1:audit-mls#Category	n5:subClassOf	n6:FeatureCharacteristic
n1:audit-mls#NumberOfCategories	n2:type	n3:Class
n1:audit-mls#NumberOfCategories	n5:subClassOf	n6:FeatureCharacteristic
n1:audit-mls#NumberOfFeatures	n2:type	n3:Class
n1:audit-mls#NumberOfFeatures	n5:subClassOf	n6:DatasetCharacteristic
n1:audit-mls#NumberOfInstances	n2:type	n3:Class
n1:audit-mls#NumberOfInstances	n5:subClassOf	n6:DatasetCharacteristic
n1:audit-mls#NumberOfUniqueValues	n2:type	n3:Class
n1:audit-mls#NumberOfUniqueValues	n5:subClassOf	n6:FeatureCharacteristic
n1:audit-mls#NumericalFeature	n2:type	n3:Class
n1:audit-mls#NumericalFeature	n3:equivalentClass	XmJQsdsWMJ8wsuwKpTY3WLG:g5
n1:audit-mls#NumericalFeature	n5:subClassOf	n6:Feature
XmJQsdsWMJ8wsuwKpTY3WLG:g5	n2:type	n3:Restriction
XmJQsdsWMJ8wsuwKpTY3WLG:g5	n3:onProperty	n6:hasQuality
XmJQsdsWMJ8wsuwKpTY3WLG:g5	n3:someValuesFrom	n1:audit-mls#NumericalRange
n1:audit-mls#NumericalRange	n2:type	n3:Class
n1:audit-mls#NumericalRange	n5:subClassOf	n6:FeatureCharacteristic
n1:audit-mls#TextualFeature	n2:type	n3:Class
n1:audit-mls#TextualFeature	n3:equivalentClass	XmJQsdsWMJ8wsuwKpTY3WLG:g6
n1:audit-mls#TextualFeature	n5:subClassOf	n6:Feature
XmJQsdsWMJ8wsuwKpTY3WLG:g6	n2:type	n3:Restriction
XmJQsdsWMJ8wsuwKpTY3WLG:g6	n3:onProperty	n6:hasQuality
XmJQsdsWMJ8wsuwKpTY3WLG:g6	n3:someValuesFrom	n1:audit-mls#NumberOfUniqueValues
n1:audit-mls#category01_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category01_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category01_feature03	n1:audit-mls#categoryName	"hate"
n1:audit-mls#category01_feature03	n1:audit-mls#categoryNumberofInstances	15267
n1:audit-mls#category02_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category02_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category02_feature03	n1:audit-mls#categoryName	"neutral"
n1:audit-mls#category02_feature03	n1:audit-mls#categoryNumberofInstances	674338
n1:audit-mls#category03_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category03_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category03_feature03	n1:audit-mls#categoryName	"anger"
n1:audit-mls#category03_feature03	n1:audit-mls#categoryNumberofInstances	12336
n1:audit-mls#category04_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category04_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category04_feature03	n1:audit-mls#categoryName	"love"
n1:audit-mls#category04_feature03	n1:audit-mls#categoryNumberofInstances	39553
n1:audit-mls#category05_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category05_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category05_feature03	n1:audit-mls#categoryName	"worry"
n1:audit-mls#category05_feature03	n1:audit-mls#categoryNumberofInstances	4475
n1:audit-mls#category06_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category06_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category06_feature03	n1:audit-mls#categoryName	"relief"
n1:audit-mls#category06_feature03	n1:audit-mls#categoryNumberofInstances	16729
n1:audit-mls#category07_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category07_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category07_feature03	n1:audit-mls#categoryName	"happiness"
n1:audit-mls#category07_feature03	n1:audit-mls#categoryNumberofInstances	27175
n1:audit-mls#category08_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category08_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category08_feature03	n1:audit-mls#categoryName	"fun"
n1:audit-mls#category08_feature03	n1:audit-mls#categoryNumberofInstances	10075
n1:audit-mls#category09_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category09_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category09_feature03	n1:audit-mls#categoryName	"empty"
n1:audit-mls#category09_feature03	n1:audit-mls#categoryNumberofInstances	5542
n1:audit-mls#category10_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category10_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category10_feature03	n1:audit-mls#categoryName	"enthusiasm"
n1:audit-mls#category10_feature03	n1:audit-mls#categoryNumberofInstances	9304
n1:audit-mls#category11_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category11_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category11_feature03	n1:audit-mls#categoryName	"sadness"
n1:audit-mls#category11_feature03	n1:audit-mls#categoryNumberofInstances	17481
n1:audit-mls#category12_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category12_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category12_feature03	n1:audit-mls#categoryName	"surprise"
n1:audit-mls#category12_feature03	n1:audit-mls#categoryNumberofInstances	6954
n1:audit-mls#category13_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category13_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category13_feature03	n1:audit-mls#categoryName	"boredom"
n1:audit-mls#category13_feature03	n1:audit-mls#categoryNumberofInstances	126
n1:audit-mls#characteristic01_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_dataset01	n2:type	n1:audit-mls#NumberOfFeatures
n1:audit-mls#characteristic01_dataset01	n6:hasValue	3
n1:audit-mls#characteristic01_feature01	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_feature01	n2:type	n1:audit-mls#NumericalRange
n1:audit-mls#characteristic01_feature01	n1:audit-mls#rangeMaxValue	1000
n1:audit-mls#characteristic01_feature01	n1:audit-mls#rangeMinValue	1
n1:audit-mls#characteristic01_feature02	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_feature02	n2:type	n1:audit-mls#NumberOfUniqueValues
n1:audit-mls#characteristic01_feature02	n6:hasValue	393822
n1:audit-mls#characteristic01_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_feature03	n2:type	n1:audit-mls#NumberOfCategories
n1:audit-mls#characteristic01_feature03	n6:hasValue	13
n1:audit-mls#characteristic02_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic02_dataset01	n2:type	n1:audit-mls#NumberOfInstances
n1:audit-mls#characteristic02_dataset01	n6:hasValue	1000000
n1:audit-mls#dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#dataset01	n2:type	n6:Dataset
n1:audit-mls#dataset01	n6:hasQuality	n1:audit-mls#characteristic01_dataset01
n1:audit-mls#dataset01	n6:hasQuality	n1:audit-mls#characteristic02_dataset01
n1:audit-mls#dataset01	n1:audit-mls#hasFeature	n1:audit-mls#feature01_dataset01
n1:audit-mls#dataset01	n1:audit-mls#hasFeature	n1:audit-mls#feature02_dataset01
n1:audit-mls#dataset01	n1:audit-mls#hasTargetFeature	n1:audit-mls#feature03_dataset01
n1:audit-mls#dataset01	n1:audit-mls#datasetName	"Dataset Emotion Analysis"
n1:audit-mls#feature01_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#feature01_dataset01	n2:type	n6:Feature
n1:audit-mls#feature01_dataset01	n6:hasQuality	n1:audit-mls#characteristic01_feature01
n1:audit-mls#feature01_dataset01	n1:audit-mls#featureName	"id"
n1:audit-mls#feature02_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#feature02_dataset01	n6:hasQuality	n1:audit-mls#characteristic01_feature02
n1:audit-mls#feature02_dataset01	n1:audit-mls#featureName	"text"
n1:audit-mls#feature03_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#feature03_dataset01	n6:hasQuality	n1:audit-mls#category01_feature03
n1:audit-mls#feature03_dataset01	n6:hasQuality	n1:audit-mls#category02_feature03
n1:audit-mls#feature03_dataset01	n6:hasQuality	n1:audit-mls#characteristic01_feature03
n1:audit-mls#feature03_dataset01	n1:audit-mls#featureName	"emotion"
n1	prefix_expansion	"https://www.gsi.upm.es/ontologies/"
n2	prefix_expansion	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
n3	prefix_expansion	"http://www.w3.org/2002/07/owl#"
n4	prefix_expansion	"http://www.w3.org/2016/03/mls#"
n5	prefix_expansion	"http://www.w3.org/2000/01/rdf-schema#"
n6	prefix_expansion	"http://www.w3.org/ns/mls#"
xml-schema-type	prefix_expansion	"http://www.w3.org/2001/XMLSchema#"
